distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
-1123	enst00000472086	sg00000142621	fhad1-212	1	15383377	15397529	+	lnc_RNA	processed_transcript
-3220	enst00000495195	sg00000142621	fhad1-219	1	15381280	15397529	+	lnc_RNA	processed_transcript
6147	enst00000472449	sg00000142621	fhad1-214	1	15391147	15400283	+	lnc_RNA	processed_transcript
-8800	enst00000477846	sg00000142621	fhad1-215	1	15375700	15400283	+	lnc_RNA	processed_transcript
-21803	enst00000481324	sg00000142621	fhad1-216	1	15362697	15398127	+	mRNA	nonsense_mediated_decay
22882	enst00000667833	sg00000228140	al031283.1-202	1	15403025	15407882	-	lnc_RNA	lncrna
24433	enst00000427824	sg00000228140	al031283.1-201	1	15402979	15409433	-	lnc_RNA	lncrna
24888	enst00000375980	sg00000142634	efhd2-201	1	15409888	15430339	+	mRNA	protein_coding
25265	enst00000445566	sg00000142634	efhd2-202	1	15410265	15429081	+	mRNA	protein_coding
-26709	enst00000483120	sg00000142621	fhad1-217	1	15357791	15364317	+	lnc_RNA	retained_intron
-39040	enst00000532408	sg00000142621	fhad1-222	1	15345460	15360623	+	lnc_RNA	processed_transcript
-39069	enst00000314668	sg00000142621	fhad1-201	1	15345431	15398126	+	mRNA	protein_coding
-39402	enst00000529606	sg00000142621	fhad1-221	1	15345098	15397741	+	mRNA	protein_coding
-40624	enst00000428747	sg00000233485	fhad1-as1-201	1	15326680	15343876	-	lnc_RNA	lncrna
-42739	enst00000444385	sg00000142621	fhad1-208	1	15341761	15384558	+	mRNA	protein_coding
-49036	enst00000439788	sg00000236045	al031283.2-201	1	15334166	15335464	-	lnc_RNA	lncrna
53442	enst00000375943	sg00000162438	ctrc-201	1	15438442	15449242	+	mRNA	protein_coding
53443	enst00000375949	sg00000162438	ctrc-202	1	15438443	15449242	+	mRNA	protein_coding
53453	enst00000476813	sg00000162438	ctrc-203	1	15438453	15443540	+	lnc_RNA	processed_transcript
55350	enst00000483406	sg00000162438	ctrc-204	1	15440350	15446654	+	lnc_RNA	processed_transcript
-57380	enst00000471347	sg00000142621	fhad1-211	1	15327120	15397516	+	lnc_RNA	processed_transcript
-57683	enst00000472131	sg00000142621	fhad1-213	1	15326817	15329734	+	lnc_RNA	retained_intron
-60031	enst00000459961	sg00000142621	fhad1-209	1	15324469	15330008	+	lnc_RNA	retained_intron
71728	enst00000459653	sg00000142615	cela2a-202	1	15456728	15463011	+	lnc_RNA	processed_transcript
71732	enst00000359621	sg00000142615	cela2a-201	1	15456732	15472091	+	mRNA	protein_coding
71747	enst00000497590	sg00000142615	cela2a-203	1	15456747	15457623	+	lnc_RNA	processed_transcript
-72395	enst00000483694	sg00000142621	fhad1-218	1	15312105	15315239	+	lnc_RNA	processed_transcript
-78720	enst00000375995	sg00000142621	fhad1-203	1	15305780	15329598	+	mRNA	protein_coding
-78731	enst00000524761	sg00000142621	fhad1-220	1	15305769	15328429	+	mRNA	protein_coding
-78738	enst00000375997	sg00000142621	fhad1-205	1	15305762	15330059	+	mRNA	protein_coding
-78739	enst00000375996	sg00000142621	fhad1-204	1	15305761	15330059	+	lnc_RNA	retained_intron
80909	enst00000494280	sg00000215704	cela2b-204	1	15465909	15483368	+	lnc_RNA	processed_transcript
91104	enst00000375910	sg00000215704	cela2b-201	1	15476104	15491395	+	mRNA	protein_coding
91465	enst00000422901	sg00000215704	cela2b-202	1	15476465	15482357	+	mRNA	protein_coding
-97455	enst00000462113	sg00000142621	fhad1-210	1	15287045	15289641	+	lnc_RNA	processed_transcript
