distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
-24497	enst00000659264	sg00000162105	shank2-225	11	70469435	70718003	-	mRNA	protein_coding
-36432	enst00000624943	sg00000280089	ap000590.1-201	11	70705605	70706068	-	unconfirmed_transcript	tec
-37231	enst00000384467	sg00000207196	y_rna.501-201	11	70705167	70705269	-	ncRNA	misc_rna
-43731	enst00000426687	sg00000162105	shank2-208	11	70492432	70698769	-	mRNA	protein_coding
64074	enst00000470759	sg00000162105	shank2-215	11	70654146	70807074	-	lnc_RNA	processed_transcript
64139	enst00000498519	sg00000162105	shank2-217	11	70698079	70807139	-	lnc_RNA	processed_transcript
-80303	enst00000409161	sg00000162105	shank2-203	11	70467856	70662197	-	mRNA	protein_coding
-80660	enst00000449116	sg00000162105	shank2-210	11	70490167	70661840	-	lnc_RNA	retained_intron
-80660	enst00000409530	sg00000162105	shank2-204	11	70489013	70661840	-	lnc_RNA	retained_intron
-80682	enst00000338508	sg00000162105	shank2-201	11	70469435	70661818	-	mRNA	protein_coding
-80682	enst00000449833	sg00000162105	shank2-211	11	70467856	70661818	-	mRNA	protein_coding
-80738	enst00000412252	sg00000162105	shank2-205	11	70472819	70661762	-	mRNA	protein_coding
-80738	enst00000357171	sg00000162105	shank2-202	11	70472819	70661762	-	mRNA	protein_coding
-82590	enst00000445654	sg00000162105	shank2-209	11	70566387	70659910	-	lnc_RNA	processed_transcript
83757	enst00000468619	sg00000162105	shank2-214	11	70667839	70826757	-	mRNA	protein_coding
83894	enst00000656230	sg00000162105	shank2-224	11	70469435	70826894	-	mRNA	protein_coding
-96335	enst00000429268	sg00000236262	shank2-as2-201	11	70646165	70647562	+	lnc_RNA	lncrna
