distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
-465	enst00000614301	sg00000278054	al591926.5-201	9	41647825	41648035	-	pseudogenic_transcript	processed_pseudogene
-3729	enst00000616876	sg00000278077	al591926.6-201	9	41644771	41644981	+	pseudogenic_transcript	processed_pseudogene
-3744	enst00000672905	sg00000288225	al591926.7-201	9	41644438	41644756	-	pseudogenic_transcript	processed_pseudogene
5594	enst00000611630	sg00000276412	al591926.2-201	9	41651658	41654594	-	lnc_RNA	lncrna
23406	enst00000616655	sg00000278028	y_rna.815-201	9	41672295	41672406	-	ncRNA	misc_rna
49910	enst00000611780	sg00000275239	fam242f-201	9	41657708	41698910	-	lnc_RNA	lncrna
49960	enst00000620416	sg00000275239	fam242f-204	9	41694357	41698960	-	lnc_RNA	lncrna
49972	enst00000615199	sg00000275239	fam242f-202	9	41687111	41698972	-	lnc_RNA	lncrna
50072	enst00000615955	sg00000275239	fam242f-203	9	41694357	41699072	-	lnc_RNA	lncrna
51682	enst00000617375	sg00000278001	al591926.4-201	9	41700682	41701096	+	pseudogenic_transcript	processed_pseudogene
51696	enst00000620542	sg00000274688	al591926.1-201	9	41700480	41700696	-	pseudogenic_transcript	processed_pseudogene
-69597	enst00000618246	sg00000276562	rn7sl565p-201	9	41578903	41579186	+	ncRNA	misc_rna
-74894	enst00000612741	sg00000276094	snora70.25-201	9	41573512	41573606	-	snoRNA	snorna
-75047	enst00000616895	sg00000277340	al591926.3-201	9	41573156	41573453	-	pseudogenic_transcript	processed_pseudogene
